AU,TI,SO,PY,DT,DE,ID,TC,DI,URL,AB,C1,RP,CR,NR,DB,MANUSCRIPT_REF,CORPUS_STATUS
"Anower, M. S., et al.",Analysis of confinement loss minima in liquid-core microstructured links using GPR surrogates,Optical Fiber Technology,2023,Article,GPR / Gaussian process / Kriging; Machine learning general; General PCF modeling / design; confinement loss,Classical ML; General PCF modeling / design,,,,,,,,,ManuscriptSeed,94,Primary study claimed by manuscript
"Xu, M., et al.",Vision transformers with spatial self-attention for tracking macrostructural resonant coupling in multi-core PCF devices,Journal of Lightwave Technology,2023,Article,Transformer / attention / ViT; General PCF modeling / design; Not explicit in title,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,95,Primary study claimed by manuscript
"Gupta, R., et al.",DL model optimizations mapping broadband zero-dispersion trajectories in non-silica soft glass PCF spaces,Optics & Laser Technology,2023,Article,Not explicit in title - full-text extraction needed; Optical communications / nonlinear optics; chromatic/group velocity dispersion,Background / non-AI / requires coding; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,96,Primary study claimed by manuscript
"Cho, S., et al.",Denoising diffusion probabilistic models for synthesizing structurally stable hollow-core fiber arrays,Nature Computational Science,2024,Article,DDPM / diffusion / score-based; Hollow-core / anti-resonant PCF; Not explicit in title,Inverse / generative design; Hollow-core / anti-resonant PCF,,,,,,,,,ManuscriptSeed,97,Primary study claimed by manuscript - AUDIT: Potential scope issue: non-PCF/analogous
"Khatun, M., et al.",Explainable AI (XAI) utilizing SHAP to decode feature parameters in SPR-based microstructured biosensors,Optics Express,2024,Article,XAI / SHAP; PCF-SPR / biosensing; sensitivity / FOM / RIU,Background / non-AI / requires coding; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,98,Primary study claimed by manuscript
"Fini, J. M.",Microstructured optical fibers for high-power applications: Design space acceleration via statistical ML,IEEE Journal of Selected Topics in Quantum Electronics,2014,Article,Machine learning general; General PCF modeling / design; Not explicit in title,Classical ML; General PCF modeling / design,,,,,,,,,ManuscriptSeed,99,Primary study claimed by manuscript
"Poletti, F., et al.",Hollow core antiresonant fibers with record low loss via automated surrogate modeling,Nature Photonics,2013,Article,Machine learning general; Hollow-core / anti-resonant PCF; confinement loss,Classical ML; Hollow-core / anti-resonant PCF,,,,,,,,,ManuscriptSeed,100,Primary study claimed by manuscript
"Habib, M. S., et al.",Low-loss hollow-core anti-resonant fiber for mid-IR: Evolutionary optimization assisted by DNNs,Optics Express,2019,Article,Not explicit in title - full-text extraction needed; Hollow-core / anti-resonant PCF; confinement loss,Deep learning; Hollow-core / anti-resonant PCF,,,,,,,,,ManuscriptSeed,101,Primary study claimed by manuscript
"Vincetti, L., et al.",Empirical modeling of leakage loss in inhibited-coupling hollow-core PCFs using neural networks,Journal of Lightwave Technology,2016,Article,ANN / MLP / BPNN; Hollow-core / anti-resonant PCF; confinement loss,Classical ML; Hollow-core / anti-resonant PCF,,,,,,,,,ManuscriptSeed,102,Primary study claimed by manuscript
"Belardi, W., et al.",Hollow core antiresonant fiber design space exploration via tree-based ML classifiers,Optics Express,2020,Article,Machine learning general; Hollow-core / anti-resonant PCF; Not explicit in title,Classical ML; Hollow-core / anti-resonant PCF,,,,,,,,,ManuscriptSeed,103,Primary study claimed by manuscript
"Tu, H., et al.",Inverse design of highly non-linear tellurite PCF for mid-IR SCG via generative deep networks,Optical Fiber Technology,2021,Article,Not explicit in title - full-text extraction needed; General PCF modeling / design; geometry / topology / structural validity,Inverse / generative design; General PCF modeling / design,,,,,,,,,ManuscriptSeed,104,Primary study claimed by manuscript
"Gao, S., et al.",Multi-objective Bayesian optimization using DNN surrogates for anti-resonant fiber design,Journal of Lightwave Technology,2022,Article,DNN / deep neural network; Bayesian optimization / active learning; Machine learning general; Hollow-core / anti-resonant PCF; Not explicit in title,Hybrid AI-metaheuristic / optimizer; Hollow-core / anti-resonant PCF,,,,,,,,,ManuscriptSeed,105,Primary study claimed by manuscript
"Amrani, F., et al.",Spatiotemporal dynamics tracking in gas-filled hollow-core fibers using DL integrated with numerical solvers,Optics Express,2023,Article,Not explicit in title - full-text extraction needed; Chemical / gas / liquid sensing; Not explicit in title,Background / non-AI / requires coding; Chemical / gas / liquid sensing,,,,,,,,,ManuscriptSeed,106,Primary study claimed by manuscript
"Taru, T., et al.",High birefringence index-guiding silica fibers: Geometric optimization using shallow backpropagation networks,Optik,2015,Article,ANN / MLP / BPNN; High-birefringence / PM-PCF; birefringence,Classical ML; High-birefringence / PM-PCF,,,,,,,,,ManuscriptSeed,107,Primary study claimed by manuscript
"Buczynski, R., et al.",Soft glass MOFs for supercontinuum generation: ML-accelerated optimization,IEEE Photonics Journal,2020,Article,Machine learning general; Optical communications / nonlinear optics; nonlinear coefficient / supercontinuum,Classical ML; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,108,Primary study claimed by manuscript
"Klimczak, M., et al.",Coherent supercontinuum generation in customized PCFs: Accelerated forward design via deep learning,Optics & Laser Technology,2021,Article,DNN / deep neural network; Optical communications / nonlinear optics; nonlinear coefficient / supercontinuum,Deep learning; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,109,Primary study claimed by manuscript
"Tani, F., et al.",Soliton dynamics tracking in gas-filled MOFs accelerated via sequential LSTM surrogate models,Optics Express,2018,Article,LSTM / recurrent; Machine learning general; Chemical / gas / liquid sensing; nonlinear coefficient / supercontinuum,Deep learning; Chemical / gas / liquid sensing,,,,,,,,,ManuscriptSeed,110,Primary study claimed by manuscript
"Travers, J. C., et al.",High-power pulse compression in hollow-core waveguides via Bayesian DNN surrogates,Nature Photonics,2019,Article,DNN / deep neural network; Machine learning general; Hollow-core / anti-resonant PCF; Not explicit in title,Deep learning; Hollow-core / anti-resonant PCF,,,,,,,,,ManuscriptSeed,111,Primary study claimed by manuscript
"Joly, N. Y., et al.",PCF design optimization for quantum light generation via CNNs,Journal of Lightwave Technology,2021,Article,Not explicit in title - full-text extraction needed; General PCF modeling / design; Not explicit in title,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,112,Primary study claimed by manuscript
"Stark, S. P., et al.",Extreme nonlinear optical frequency conversion in microstructured silica via neural network regressors,Optics Express,2022,Article,ANN / MLP / BPNN; Optical communications / nonlinear optics; nonlinear coefficient / supercontinuum,Classical ML; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,113,Primary study claimed by manuscript
"Novoa, D., et al.",DL-assisted characterization and real-time structural tracking of core modes in microstructured optical targets,Light: Science & Applications,2023,Article,Not explicit in title - full-text extraction needed; General PCF modeling / design; Not explicit in title,Background / non-AI / requires coding; General PCF modeling / design,,,,,,,,,ManuscriptSeed,114,Primary study claimed by manuscript
"Schülzgen, A., et al.",Multi-core PCF design for high-power fiber lasers via decision tree architectures,Optical Fiber Technology,2020,Article,Not explicit in title - full-text extraction needed; Fiber lasers / high-power delivery; Not explicit in title,Background / non-AI / requires coding; Fiber lasers / high-power delivery,,,,,,,,,ManuscriptSeed,115,Primary study claimed by manuscript
"Amezcua-Correa, R., et al.",High-capacity SDM transmission over customized microstructured frameworks optimized via DL,Journal of Lightwave Technology,2021,Article,Not explicit in title - full-text extraction needed; Optical communications / nonlinear optics; Not explicit in title,Background / non-AI / requires coding; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,116,Primary study claimed by manuscript
"Richardson, D. J., et al.",Next-generation SDM optical links: Optimization using deep surrogate networks,Nature Photonics,2022,Article,DNN / deep neural network; Machine learning general; Optical communications / nonlinear optics; Not explicit in title,Deep learning; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,117,Primary study claimed by manuscript
"Li, M. J., et al.",Low-loss multi-core optical fibers for long-haul systems: ML-accelerated parametric design,IEEE Photonics Journal,2019,Article,Machine learning general; General PCF modeling / design; confinement loss,Classical ML; General PCF modeling / design,,,,,,,,,ManuscriptSeed,118,Primary study claimed by manuscript
"Matsuo, S., et al.",High-count multi-core fibers with heterogeneous core distributions optimized via neural networks,Optics Express,2020,Article,ANN / MLP / BPNN; General PCF modeling / design; Not explicit in title,Classical ML; General PCF modeling / design,,,,,,,,,ManuscriptSeed,119,Primary study claimed by manuscript
"Hassan, M. M., et al.",Numerical analysis and ANN-based optimization of a hexagonal PCF for simultaneous sensing applications,Sensors,2021,Article,ANN / MLP / BPNN; General PCF modeling / design; Not explicit in title,Classical ML; General PCF modeling / design,,,,,,,,,ManuscriptSeed,120,Primary study claimed by manuscript
"Hossain, M. A., et al.",Deep learning based prediction of effective refractive index in asymmetric core PCF,Optik,2021,Article,DNN / deep neural network; General PCF modeling / design; effective refractive index / n_eff,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,121,Primary study claimed by manuscript
"Rahman, M. A., et al.",Machine learning optimization of a dual-core PCF for liquid sensing applications,Optics & Laser Technology,2022,Article,Machine learning general; General PCF modeling / design; Not explicit in title,Classical ML; General PCF modeling / design,,,,,,,,,ManuscriptSeed,122,Primary study claimed by manuscript
"Akter, S., et al.",CNN-based forward modeling of birefringent PCF for THz polarization maintenance,IEEE Photonics Journal,2022,Article,CNN / ResNet / convolutional; THz PCF waveguides; birefringence,Deep learning; THz PCF waveguides,,,,,,,,,ManuscriptSeed,123,Primary study claimed by manuscript
"Islam, R., et al.",SVR-aided design of a porous-core fiber for terahertz wave guiding,Results in Physics,2022,Article,SVR / SVM; THz PCF waveguides; Not explicit in title,Classical ML; THz PCF waveguides,,,,,,,,,ManuscriptSeed,124,Primary study claimed by manuscript
"Habib, M. A., et al.",Sensitivity enhancement of a PCF-SPR sensor using random forest optimization,Optical Fiber Technology,2022,Article,Transformer / attention / ViT; Random forest; PCF-SPR / biosensing; sensitivity / FOM / RIU,Deep learning; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,125,Primary study claimed by manuscript
"Nandini, A., et al.",ANN-assisted design of a gold-silver bimetallic-coated PCF-SPR biosensor for cancer detection,Biosensors,2022,Article,ANN / MLP / BPNN; PCF-SPR / biosensing; sensitivity / FOM / RIU,Classical ML; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,126,Primary study claimed by manuscript
"Paul, A. K., et al.",Machine learning approaches for PCF-based analyte detection: A comparative study of ANN and SVR,Photonics,2023,Article,ANN / MLP / BPNN; SVR / SVM; Machine learning general; PCF-SPR / biosensing; sensitivity / FOM / RIU,Classical ML; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,127,Primary study claimed by manuscript
"Ahmed, T., et al.",Gradient-boosted ensemble models for predicting plasmonic resonance in gold-coated D-shaped PCF sensors,Optics Communications,2023,Article,XGBoost / gradient boosting / LightGBM; PCF-SPR / biosensing; sensitivity / FOM / RIU,Classical ML; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,128,Primary study claimed by manuscript
"Chowdhury, A., et al.","Deep learning inverse design for PCF-based SPR sensor optimization with target sensitivity > 10,000 nm/RIU",Journal of Lightwave Technology,2023,Article,Transformer / attention / ViT; DNN / deep neural network; PCF-SPR / biosensing; sensitivity / FOM / RIU; geometry / topology / structural validity,Inverse / generative design; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,129,Primary study claimed by manuscript
"Liton, M. N. H., et al.",XGBoost and neural network comparison for sensitivity prediction in hexagonal PCF biosensors,Optical Fiber Technology,2023,Article,Transformer / attention / ViT; ANN / MLP / BPNN; XGBoost / gradient boosting / LightGBM; PCF-SPR / biosensing; sensitivity / FOM / RIU,Deep learning; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,130,Primary study claimed by manuscript
"Rahaman, A., et al.",Highly sensitive PCF biosensor for human blood component analysis using ML surrogates,Photonics,2023,Article,Machine learning general; PCF-SPR / biosensing; sensitivity / FOM / RIU,Classical ML; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,131,Primary study claimed by manuscript
"Begum, F., et al.",Transformer-based deep learning model for PCF-SPR biosensor sensitivity prediction,IEEE Sensors Journal,2024,Article,Transformer / attention / ViT; DNN / deep neural network; PCF-SPR / biosensing; sensitivity / FOM / RIU,Deep learning; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,132,Primary study claimed by manuscript
"Sultana, J., et al.",VAE-guided inverse design of a highly sensitive PCF-SPR sensor for cancer biomarker detection,Optics Express,2024,Article,VAE / beta-VAE / CVAE; PCF-SPR / biosensing; sensitivity / FOM / RIU; geometry / topology / structural validity,Inverse / generative design; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,133,Primary study claimed by manuscript
"Mou, C., et al.",Automated design of THz-guiding porous-core fibers using Bayesian optimization,Optics & Laser Technology,2021,Article,Bayesian optimization / active learning; THz PCF waveguides; Not explicit in title,Hybrid AI-metaheuristic / optimizer; THz PCF waveguides,,,,,,,,,ManuscriptSeed,134,Primary study claimed by manuscript
"Ahmed, K., et al.",Random forest model for effective material loss prediction in porous core THz PCF,Optik,2022,Article,Random forest; THz PCF waveguides; confinement loss; effective material loss / EML,Classical ML; THz PCF waveguides,,,,,,,,,ManuscriptSeed,135,Primary study claimed by manuscript
"Habib, M. S., et al.",DNN-guided multi-objective optimization of a Kagome-lattice THz fiber,Journal of Lightwave Technology,2022,Article,DNN / deep neural network; THz PCF waveguides; Not explicit in title,Hybrid AI-metaheuristic / optimizer; THz PCF waveguides,,,,,,,,,ManuscriptSeed,136,Primary study claimed by manuscript
"Sultana, J., et al.",ANN surrogate model for birefringent THz PCF design in polarization-maintaining applications,IEEE Photonics Journal,2022,Article,ANN / MLP / BPNN; Machine learning general; THz PCF waveguides; birefringence,Classical ML; THz PCF waveguides,,,,,,,,,ManuscriptSeed,137,Primary study claimed by manuscript
"Hossen, M. B., et al.",Machine learning-driven optimization of a low-loss asymmetric porous THz fiber for biomedical imaging,Sensors,2023,Article,Machine learning general; THz PCF waveguides; confinement loss,Classical ML; THz PCF waveguides,,,,,,,,,ManuscriptSeed,138,Primary study claimed by manuscript
"Islam, M. A., et al.",Deep learning surrogate for broadband THz-PCF design with near-zero dispersion,Optics Communications,2023,Article,DNN / deep neural network; Machine learning general; THz PCF waveguides; chromatic/group velocity dispersion,Deep learning; THz PCF waveguides,,,,,,,,,ManuscriptSeed,139,Primary study claimed by manuscript
"Abir, M. A. A., et al.","Multi-output DNN for simultaneous prediction of EML, birefringence, and confinement loss in THz-PCF",Results in Physics,2024,Article,DNN / deep neural network; THz PCF waveguides; confinement loss; birefringence; effective material loss / EML,Deep learning; THz PCF waveguides,,,,,,,,,ManuscriptSeed,140,Primary study claimed by manuscript
"Dasa, M. K., et al.",Machine learning optimization of hollow-core anti-resonant fiber for THz wave delivery,Optics Express,2023,Article,Machine learning general; THz PCF waveguides; Not explicit in title,Classical ML; THz PCF waveguides,,,,,,,,,ManuscriptSeed,141,Primary study claimed by manuscript
"Rana, S., et al.",XGBoost optimization of polymer PCF for high-birefringence THz polarimetry,Optik,2022,Article,XGBoost / gradient boosting / LightGBM; THz PCF waveguides; birefringence,Classical ML; THz PCF waveguides,,,,,,,,,ManuscriptSeed,142,Primary study claimed by manuscript
"Hasan, M. M., et al.",Support vector regression for prediction of relative sensitivity in gas-filled PCF sensors,Results in Physics,2021,Article,Transformer / attention / ViT; SVR / SVM; Chemical / gas / liquid sensing; sensitivity / FOM / RIU,Inverse / generative design; Chemical / gas / liquid sensing,,,,,,,,,ManuscriptSeed,143,Primary study claimed by manuscript
"Olyaee, S., et al.",ANN modeling of a liquid-infiltrated PCF sensor for environmental monitoring,Sensors and Actuators A: Physical,2022,Article,ANN / MLP / BPNN; Chemical / gas / liquid sensing; sensitivity / FOM / RIU,Classical ML; Chemical / gas / liquid sensing,,,,,,,,,ManuscriptSeed,144,Primary study claimed by manuscript
"Paul, B. K., et al.",Random forest based sensitivity prediction for chemical sensing in hexagonal PCF,Optics & Laser Technology,2022,Article,Transformer / attention / ViT; Random forest; PCF-SPR / biosensing; sensitivity / FOM / RIU,Deep learning; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,145,Primary study claimed by manuscript
"Rifat, A. A., et al.",Deep learning regression for CO₂ gas sensing performance optimization in porous PCF structures,IEEE Sensors Journal,2023,Article,DNN / deep neural network; Chemical / gas / liquid sensing; Not explicit in title,Deep learning; Chemical / gas / liquid sensing,,,,,,,,,ManuscriptSeed,146,Primary study claimed by manuscript
"Bhuiyan, T., et al.",LSTM-based prediction of toxic gas sensitivity in asymmetric-hole PCF chemical sensors,Optics Communications,2023,Article,Transformer / attention / ViT; LSTM / recurrent; Chemical / gas / liquid sensing; sensitivity / FOM / RIU,Deep learning; Chemical / gas / liquid sensing,,,,,,,,,ManuscriptSeed,147,Primary study claimed by manuscript
"Mou, J., et al.",GA-DNN hybrid optimization of methane-sensing hollow-core PCF with ultra-high evanescent field overlap,Optics Express,2024,Article,DNN / deep neural network; Genetic algorithm / GA / NSGA; Chemical / gas / liquid sensing; Not explicit in title,Hybrid AI-metaheuristic / optimizer; Chemical / gas / liquid sensing,,,,,,,,,ManuscriptSeed,148,Primary study claimed by manuscript
"Tan, Z., et al.",DNN optimization of dispersion-flattened PCF for high-coherence supercontinuum generation in telecom band,Optics Letters,2023,Article,DNN / deep neural network; Optical communications / nonlinear optics; chromatic/group velocity dispersion; nonlinear coefficient / supercontinuum,Deep learning; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,149,Primary study claimed by manuscript
"Sun, J., et al.",CNN-surrogate design of chalcogenide PCF for mid-infrared supercontinuum spanning 1-12 µm,Optics Express,2023,Article,CNN / ResNet / convolutional; Machine learning general; Optical communications / nonlinear optics; nonlinear coefficient / supercontinuum,Deep learning; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,150,Primary study claimed by manuscript
"Wang, Q., et al.",Multi-objective Bayesian optimization of photonic crystal fiber for dual-wavelength soliton generation,Photonics Research,2023,Article,Bayesian optimization / active learning; Optical communications / nonlinear optics; nonlinear coefficient / supercontinuum,Hybrid AI-metaheuristic / optimizer; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,151,Primary study claimed by manuscript
"Zhang, K., et al.",Physics-informed LSTM model for group velocity dispersion prediction in silica nanowires and PCF,IEEE Journal of Selected Topics in Quantum Electronics,2024,Article,PINN / physics-informed; LSTM / recurrent; Optical communications / nonlinear optics; chromatic/group velocity dispersion,Deep learning; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,152,Primary study claimed by manuscript
"Liu, H., et al.",GAN-driven inverse design of octagonal PCF for broadband anomalous dispersion generation,Journal of Lightwave Technology,2024,Article,GAN / cGAN; Optical communications / nonlinear optics; chromatic/group velocity dispersion; geometry / topology / structural validity,Inverse / generative design; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,153,Primary study claimed by manuscript
"Chen, Z., et al.",VAE inverse design of tellurite-glass PCF for multi-octave mid-IR supercontinuum with fabrication tolerance,Light: Science & Applications,2024,Article,VAE / beta-VAE / CVAE; Optical communications / nonlinear optics; nonlinear coefficient / supercontinuum; geometry / topology / structural validity,Inverse / generative design; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,154,Primary study claimed by manuscript
"Huang, T., et al.",Diffusion model generative design of silicon PCF for octave-spanning comb generation,Nature Photonics,2024,Article,DDPM / diffusion / score-based; Optical communications / nonlinear optics; nonlinear coefficient / supercontinuum,Inverse / generative design; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,155,Primary study claimed by manuscript - AUDIT: Potential scope issue: non-PCF/analogous
"Islam, M. S., et al.",ANN-based prediction of group birefringence in stress-applying member PCF,IEEE Photonics Journal,2022,Article,ANN / MLP / BPNN; High-birefringence / PM-PCF; birefringence,Classical ML; High-birefringence / PM-PCF,,,,,,,,,ManuscriptSeed,156,Primary study claimed by manuscript
"Ahmed, K., et al.",SVR and ANN comparative study for birefringence optimization in elliptical-hole PCF,Optik,2023,Article,ANN / MLP / BPNN; SVR / SVM; High-birefringence / PM-PCF; birefringence,Classical ML; High-birefringence / PM-PCF,,,,,,,,,ManuscriptSeed,157,Primary study claimed by manuscript
"Hossain, M. A., et al.",DNN-based multi-objective optimization of a birefringent PCF for polarization-maintaining single-mode operation,Results in Physics,2023,Article,DNN / deep neural network; High-birefringence / PM-PCF; birefringence,Hybrid AI-metaheuristic / optimizer; High-birefringence / PM-PCF,,,,,,,,,ManuscriptSeed,158,Primary study claimed by manuscript
"Park, S., et al.",Transformer encoder model for predicting polarization cross-talk in multi-ring birefringent PCF arrays,Journal of Lightwave Technology,2023,Article,Transformer / attention / ViT; High-birefringence / PM-PCF; birefringence,Deep learning; High-birefringence / PM-PCF,,,,,,,,,ManuscriptSeed,159,Primary study claimed by manuscript
"Li, X., et al.",RL-agent guided design of high-birefringence PCF for fiber gyroscope applications,Optics Express,2024,Article,Reinforcement learning / DQN / PPO; High-birefringence / PM-PCF; birefringence,Inverse / generative design; High-birefringence / PM-PCF,,,,,,,,,ManuscriptSeed,160,Primary study claimed by manuscript
"Bhatt, D., et al.",DNN surrogate for effective mode area prediction in large-mode-area PCF fiber lasers,Optical Fiber Technology,2022,Article,DNN / deep neural network; Machine learning general; Fiber lasers / high-power delivery; effective mode area / A_eff,Deep learning; Fiber lasers / high-power delivery,,,,,,,,,ManuscriptSeed,161,Primary study claimed by manuscript
"Wu, Y., et al.",CNN-based design of Yb-doped large-mode-area PCF for kW-class fiber laser outputs,Optics Express,2022,Article,CNN / ResNet / convolutional; Fiber lasers / high-power delivery; effective mode area / A_eff,Deep learning; Fiber lasers / high-power delivery,,,,,,,,,ManuscriptSeed,162,Primary study claimed by manuscript
"Kumar, S., et al.",Random forest feature importance analysis for parameter selection in PCF fiber laser optimization,Photonics,2023,Article,Random forest; Fiber lasers / high-power delivery; Not explicit in title,Classical ML; Fiber lasers / high-power delivery,,,,,,,,,ManuscriptSeed,163,Primary study claimed by manuscript
"Deng, H., et al.",Bayesian optimization of cladding geometry in all-solid photonic bandgap fiber for laser mode control,Journal of Lightwave Technology,2023,Article,Bayesian optimization / active learning; Fiber lasers / high-power delivery; geometry / topology / structural validity,Hybrid AI-metaheuristic / optimizer; Fiber lasers / high-power delivery,,,,,,,,,ManuscriptSeed,164,Primary study claimed by manuscript
"Tao, J., et al.",Deep generative model for inverse design of PCF supporting single-mode operation with large effective area > 1000 µm²,Nature Photonics,2024,Article,Not explicit in title - full-text extraction needed; General PCF modeling / design; geometry / topology / structural validity,Inverse / generative design; General PCF modeling / design,,,,,,,,,ManuscriptSeed,165,Primary study claimed by manuscript
"Guo, C., et al.",Transfer learning from broad to narrow PCF parameter spaces for data-efficient surrogate modeling,Optics Express,2021,Article,Machine learning general; General PCF modeling / design; Not explicit in title,Classical ML; General PCF modeling / design,,,,,,,,,ManuscriptSeed,166,Primary study claimed by manuscript
"Shen, B., et al.",Active learning with Gaussian process surrogates for optimal PCF design space sampling,Optics Letters,2022,Article,GPR / Gaussian process / Kriging; Bayesian optimization / active learning; Machine learning general; General PCF modeling / design; Not explicit in title,Hybrid AI-metaheuristic / optimizer; General PCF modeling / design,,,,,,,,,ManuscriptSeed,167,Primary study claimed by manuscript
"Chen, X., et al.",Physics-constrained deep learning for physically realizable PCF inverse design with hole-wall thickness enforcement,IEEE Photonics Journal,2022,Article,PINN / physics-informed; DNN / deep neural network; General PCF modeling / design; geometry / topology / structural validity,Inverse / generative design; General PCF modeling / design,,,,,,,,,ManuscriptSeed,168,Primary study claimed by manuscript
"Zhao, J., et al.",SHAP explainability analysis of DNN surrogate models for PCF sensitivity prediction,Results in Physics,2023,Article,Transformer / attention / ViT; DNN / deep neural network; XAI / SHAP; Machine learning general; PCF-SPR / biosensing; sensitivity / FOM / RIU,Deep learning; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,169,Primary study claimed by manuscript
"Liu, Z., et al.",Fabrication-aware inverse design of PCF with stochastic hole-diameter perturbation embedding,Optics Express,2023,Article,Not explicit in title - full-text extraction needed; Fabrication / digital twin / SEM inspection; geometry / topology / structural validity,Inverse / generative design; Fabrication / digital twin / SEM inspection,,,,,,,,,ManuscriptSeed,170,Primary study claimed by manuscript
"Wang, H., et al.",Digital twin framework for real-time monitoring and AI-guided control of PCF drawing tower processes,Journal of Lightwave Technology,2024,Article,Not explicit in title - full-text extraction needed; Fabrication / digital twin / SEM inspection; Not explicit in title,Background / non-AI / requires coding; Fabrication / digital twin / SEM inspection,,,,,,,,,ManuscriptSeed,171,Primary study claimed by manuscript
"Luo, J., et al.",Multi-fidelity Bayesian optimization for efficient PCF design with limited high-fidelity FEM samples,Optics Express,2024,Article,Bayesian optimization / active learning; General PCF modeling / design; Not explicit in title,Hybrid AI-metaheuristic / optimizer; General PCF modeling / design,,,,,,,,,ManuscriptSeed,172,Primary study claimed by manuscript
"Huang, Y., et al.",Federated learning for privacy-preserving collaborative PCF surrogate modeling across institutions,Photonics Research,2024,Article,Foundation / self-supervised / federated; Machine learning general; General PCF modeling / design; Not explicit in title,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,173,Primary study claimed by manuscript
"Du, J., et al.",Graph neural network (GNN) representation of PCF hole topology for structure-property modeling,Nature Computational Science,2025,Article,GNN / graph neural network; ANN / MLP / BPNN; General PCF modeling / design; geometry / topology / structural validity,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,174,Primary study claimed by manuscript
"Wei, X., et al.",Foundation model for photonic crystal fiber: Pre-training on one million simulated structures for universal surrogate modeling,Science Advances,2025,Article,Foundation / self-supervised / federated; Machine learning general; General PCF modeling / design; Not explicit in title,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,175,Primary study claimed by manuscript
"Chen, Q., et al.",Quantum-inspired ML kernel optimization for high-dimensional PCF design space exploration,Optics Express,2025,Article,Machine learning general; General PCF modeling / design; Not explicit in title,Classical ML; General PCF modeling / design,,,,,,,,,ManuscriptSeed,176,Primary study claimed by manuscript
"Li, Y., et al.",Surrogate-based multi-objective optimization of helical PCF for fiber-optic gyroscope using NSGA-II,Optical Fiber Technology,2022,Article,Genetic algorithm / GA / NSGA; Machine learning general; High-birefringence / PM-PCF; Not explicit in title,Hybrid AI-metaheuristic / optimizer; High-birefringence / PM-PCF,,,,,,,,,ManuscriptSeed,177,Primary study claimed by manuscript
"Hu, Z., et al.",ANN-guided optimization of silicon microring resonators coupled to PCF for on-chip nonlinear photonics,Optics Express,2023,Article,ANN / MLP / BPNN; General PCF modeling / design; nonlinear coefficient / supercontinuum,Classical ML; General PCF modeling / design,,,,,,,,,ManuscriptSeed,178,Primary study claimed by manuscript - AUDIT: Potential scope issue: may not be PCF primary
"Park, H., et al.",Deep learning joint optimization of mode-division and wavelength-division multiplexing parameters in few-mode PCF,Journal of Lightwave Technology,2023,Article,DNN / deep neural network; Optical communications / nonlinear optics; Not explicit in title,Deep learning; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,179,Primary study claimed by manuscript
"Ye, H., et al.",Convolutional autoencoder for unsupervised PCF topology clustering and anomaly detection,Optics Express,2024,Article,CNN / ResNet / convolutional; General PCF modeling / design; geometry / topology / structural validity,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,180,Primary study claimed by manuscript
"Huang, L., et al.","Multi-task DNN for simultaneous prediction of optical, mechanical, and thermal properties in chalcogenide PCF",Advanced Photonics,2024,Article,DNN / deep neural network; General PCF modeling / design; Not explicit in title,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,181,Primary study claimed by manuscript
"Jiao, Y., et al.",Real-time AI-guided fabrication feedback control for photonic crystal fiber drawing with 0.1% diameter tolerance,Optica,2026,Article,Not explicit in title - full-text extraction needed; Fabrication / digital twin / SEM inspection; geometry / topology / structural validity,Background / non-AI / requires coding; Fabrication / digital twin / SEM inspection,,,,,,,,,ManuscriptSeed,182,Primary study claimed by manuscript
