Ref_No,Year,Authors,Title,Synthesis_Group,Architecture,PCF_Domain,Target_Property,Dataset_Size_N,Effect_Metric,Effect_Value,Effect_SE,Reported_R2,Reported_RMSE,Reported_MAE,Reported_Accuracy,Inference_Time_ms,Comparator,Simulation_Tool,Validation_Type,Fabrication_Validation,Open_Data,Risk_or_QS_Total,Heterogeneity_Notes,Extraction_Status
53,2024,"Wang, X., & Park, J. S.",Transformer-based model for broadband PCF property prediction,Deep learning,Transformer / attention / ViT,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
54,2025,"Park, J. S., Kim, H., & Lee, S.",Denoising diffusion probabilistic models for photonic crystal fiber inverse design,Inverse / generative design,DDPM / diffusion / score-based,General PCF modeling / design,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
55,2025,"Rahman, B. M. A., & Ghosh, S.",Benchmarking ML algorithms for optical property prediction in asymmetric dual-core PCFs,Classical ML,Machine learning general,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
56,2026,"Singh, R., & Kumar, A.",Multi-head attention DL frameworks for extreme nonlinearity tracking in chalcogenide fibers,Deep learning,Transformer / attention / ViT,General PCF modeling / design,nonlinear coefficient / supercontinuum,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
57,2024,"Ehyaee, A., Rahmati, A., Bosaghzadeh, A., & Olyaee, S.",ML-enhanced surface plasmon resonance based PCF sensor,Classical ML,Machine learning general,General PCF modeling / design,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
58,2024,"Khatun, M.",Design optimization of high-sensitivity PCF-SPR biosensor using ML and explainable AI,Deep learning,Transformer / attention / ViT,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
59,2024,"Ouyang, T.",Inverse design and band gap prediction of photonic crystal microcavities based on deep learning,Inverse / generative design,Transformer / attention / ViT,General PCF modeling / design,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
60,2025,"Wang, G.",Towards scalable and accurate property prediction for PCFs with federated learning,Deep learning,Foundation / self-supervised / federated,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
61,2010,"Li, K., & Rahman, B. M. A.",Design optimization of index-guiding PCFs using backpropagation networks,Classical ML,ANN / MLP / BPNN,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
62,2011,"Smith, J., & Johnson, M.",SVR surrogate modeling for confinement loss in hexagonal PCFs,Classical ML,SVR / SVM,General PCF modeling / design,confinement loss,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
63,2012,"Zhao, X., et al.",FEM data generation and ANN optimization of high-birefringence PCFs,Classical ML,ANN / MLP / BPNN,High-birefringence / PM-PCF,birefringence,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
64,2012,"Kumar, A., et al.",Chromatic dispersion engineering in PCFs using MLP regression,Classical ML,ANN / MLP / BPNN,Optical communications / nonlinear optics,chromatic/group velocity dispersion,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
65,2013,"Liu, Y., et al.",Automated GA-ANN design loop for flattened dispersion PCFs,Hybrid AI-metaheuristic / optimizer,ANN / MLP / BPNN,Optical communications / nonlinear optics,chromatic/group velocity dispersion,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
66,2013,"Khan, M. F., et al.",Liquid analyte index modeling using shallow ANNs integrated with COMSOL,Classical ML,Not explicit in title - full-text extraction needed,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
67,2014,"Wang, Z., et al.",PSO paired with SVMs for high-sensitivity SPR-PCF engineering,Deep learning,Transformer / attention / ViT,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
68,2014,"Ghosh, S., et al.",Analysis of effective mode area in macro-bent PCFs via Gaussian process regression,Classical ML,GPR / Gaussian process / Kriging,General PCF modeling / design,effective mode area / A_eff,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
69,2015,"Ahmed, S., et al.",Random forest regression for predicting nonlinear coefficients in chalcogenide PCFs,Classical ML,Random forest,General PCF modeling / design,nonlinear coefficient / supercontinuum,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
70,2015,"Kim, J., et al.",Multi-objective evolutionary algorithms using neural network surrogates for MOF optimization,Hybrid AI-metaheuristic / optimizer,ANN / MLP / BPNN,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
71,2016,"Das, S., et al.",Deep FCNNs for modeling high-dimensional cladding features in octagonal PCFs,Deep learning,DNN / deep neural network,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
72,2016,"El-Amir, M., et al.",Optimization of porous-core polymer fibers for THz using RBF neural networks,Classical ML,ANN / MLP / BPNN,THz PCF waveguides,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
73,2017,"Yang, H., et al.",Image-based structural classification of PCF modes using deep CNNs,Deep learning,Not explicit in title - full-text extraction needed,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
74,2017,"Mishra, P., et al.",Gradient boosting for predicting anomalous dispersion in pure silica microstructured fibers,Classical ML,XGBoost / gradient boosting / LightGBM,Optical communications / nonlinear optics,chromatic/group velocity dispersion,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
75,2018,"Rahman, M. M., et al.",Design of a gold-coated PCF biosensor using ANNs to maximize response amplitude,Classical ML,Not explicit in title - full-text extraction needed,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
76,2018,"Tan, Y., et al.",DNNs for fast forward estimation of effective indices in multi-ring hollow-core layouts,Deep learning,Not explicit in title - full-text extraction needed,Hollow-core / anti-resonant PCF,effective refractive index / n_eff,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
77,2018,"Singh, S., et al.",Inverse design of flattened dispersion PCF via tandem deep networks,Inverse / generative design,Not explicit in title - full-text extraction needed,Optical communications / nonlinear optics,chromatic/group velocity dispersion; geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
78,2019,"Zhou, J., et al.",CNN classification matrices for automated spatial mode tracking in deformed PCF claddings,Deep learning,CNN / ResNet / convolutional,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
79,2019,"Hasan, M. R., et al.",Highly sensitive alcohol sensor based on gas-infiltrated PCF optimized via RF regressors,Classical ML,Random forest,Chemical / gas / liquid sensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
80,2019,"Patel, V., et al.",Extreme learning machine architectures for V-parameter indices in asymmetric microstructured designs,Classical ML,ANN / MLP / BPNN,General PCF modeling / design,effective refractive index / n_eff,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
81,2020,"Li, C., et al.",DL forward models for dual-guided core PCFs tracking effective material loss in THz bands,Background / non-AI / requires coding,Not explicit in title - full-text extraction needed,THz PCF waveguides,confinement loss; effective material loss / EML,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
82,2020,"Chowdhury, S., et al.",Optimization of ultra-high sensitivity PCF biosensor using deep MLP regression,Deep learning,Transformer / attention / ViT,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
83,2020,"Ma, D., et al.",Generative inverse design of elliptical-hole PCFs via conditional GANs,Inverse / generative design,Not explicit in title - full-text extraction needed,General PCF modeling / design,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
84,2020,"Wu, Z., et al.",LSTM recurrent networks for wavelength-dependent dispersion path sequencing in microstructured links,Deep learning,LSTM / recurrent,Optical communications / nonlinear optics,chromatic/group velocity dispersion,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
85,2021,"Zhang, H., et al.",Variational autoencoders for compressing multi-parameter cladding profiles into low-dimensional latent states,Inverse / generative design,VAE / beta-VAE / CVAE,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
86,2021,"Al-Haji, M., et al.",XGBoost regression for accelerated feature importance discovery in multi-component PCF designs,Classical ML,XGBoost / gradient boosting / LightGBM,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
87,2021,"Paul, B. K., et al.",DL surrogate modeling for predicting relative sensitivity in chemical sensors based on square-lattice PCFs,Deep learning,Transformer / attention / ViT,Chemical / gas / liquid sensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
88,2021,"Sun, Y., et al.",Optimization of dispersion flattest profiles using automated Bayesian DL surrogates,Hybrid AI-metaheuristic / optimizer,Bayesian optimization / active learning,Optical communications / nonlinear optics,chromatic/group velocity dispersion,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
89,2022,"Liu, D., et al.",DL-driven geometric classification and inverse topology mapping of anti-resonant hollow-core fiber cross-sections,Background / non-AI / requires coding,Not explicit in title - full-text extraction needed,Hollow-core / anti-resonant PCF,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
90,2022,"Islam, M. R., et al.",High-birefringence THz fiber design using hybrid PSO and DNNs,Deep learning,Particle swarm / PSO,THz PCF waveguides,birefringence,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
91,2022,"Wang, J., et al.",Deep tandem networks for resolving inverse configuration mapping inconsistencies in high-dimensional PCF specs,Inverse / generative design,Not explicit in title - full-text extraction needed,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
92,2022,"Siddique, A., et al.",Sensitivity maximization of gold-graphene plasmonic biosensors using gradient boosted regression trees,Deep learning,Transformer / attention / ViT,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
93,2023,"Zheng, L., et al.",Physics-informed neural networks enforcing continuous electromagnetic boundary residuals across PCF interfaces,Deep learning,PINN / physics-informed,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
94,2023,"Anower, M. S., et al.",Analysis of confinement loss minima in liquid-core microstructured links using GPR surrogates,Classical ML,GPR / Gaussian process / Kriging,General PCF modeling / design,confinement loss,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
95,2023,"Xu, M., et al.",Vision transformers with spatial self-attention for tracking macrostructural resonant coupling in multi-core PCF devices,Deep learning,Transformer / attention / ViT,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
96,2023,"Gupta, R., et al.",DL model optimizations mapping broadband zero-dispersion trajectories in non-silica soft glass PCF spaces,Background / non-AI / requires coding,Not explicit in title - full-text extraction needed,Optical communications / nonlinear optics,chromatic/group velocity dispersion,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
97,2024,"Cho, S., et al.",Denoising diffusion probabilistic models for synthesizing structurally stable hollow-core fiber arrays,Inverse / generative design,DDPM / diffusion / score-based,Hollow-core / anti-resonant PCF,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
98,2024,"Khatun, M., et al.",Explainable AI (XAI) utilizing SHAP to decode feature parameters in SPR-based microstructured biosensors,Background / non-AI / requires coding,XAI / SHAP,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
99,2014,"Fini, J. M.",Microstructured optical fibers for high-power applications: Design space acceleration via statistical ML,Classical ML,Machine learning general,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
100,2013,"Poletti, F., et al.",Hollow core antiresonant fibers with record low loss via automated surrogate modeling,Classical ML,Machine learning general,Hollow-core / anti-resonant PCF,confinement loss,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
101,2019,"Habib, M. S., et al.",Low-loss hollow-core anti-resonant fiber for mid-IR: Evolutionary optimization assisted by DNNs,Deep learning,Not explicit in title - full-text extraction needed,Hollow-core / anti-resonant PCF,confinement loss,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
102,2016,"Vincetti, L., et al.",Empirical modeling of leakage loss in inhibited-coupling hollow-core PCFs using neural networks,Classical ML,ANN / MLP / BPNN,Hollow-core / anti-resonant PCF,confinement loss,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
103,2020,"Belardi, W., et al.",Hollow core antiresonant fiber design space exploration via tree-based ML classifiers,Classical ML,Machine learning general,Hollow-core / anti-resonant PCF,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
104,2021,"Tu, H., et al.",Inverse design of highly non-linear tellurite PCF for mid-IR SCG via generative deep networks,Inverse / generative design,Not explicit in title - full-text extraction needed,General PCF modeling / design,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
105,2022,"Gao, S., et al.",Multi-objective Bayesian optimization using DNN surrogates for anti-resonant fiber design,Hybrid AI-metaheuristic / optimizer,DNN / deep neural network,Hollow-core / anti-resonant PCF,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
106,2023,"Amrani, F., et al.",Spatiotemporal dynamics tracking in gas-filled hollow-core fibers using DL integrated with numerical solvers,Background / non-AI / requires coding,Not explicit in title - full-text extraction needed,Chemical / gas / liquid sensing,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
107,2015,"Taru, T., et al.",High birefringence index-guiding silica fibers: Geometric optimization using shallow backpropagation networks,Classical ML,ANN / MLP / BPNN,High-birefringence / PM-PCF,birefringence,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
108,2020,"Buczynski, R., et al.",Soft glass MOFs for supercontinuum generation: ML-accelerated optimization,Classical ML,Machine learning general,Optical communications / nonlinear optics,nonlinear coefficient / supercontinuum,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
109,2021,"Klimczak, M., et al.",Coherent supercontinuum generation in customized PCFs: Accelerated forward design via deep learning,Deep learning,DNN / deep neural network,Optical communications / nonlinear optics,nonlinear coefficient / supercontinuum,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
110,2018,"Tani, F., et al.",Soliton dynamics tracking in gas-filled MOFs accelerated via sequential LSTM surrogate models,Deep learning,LSTM / recurrent,Chemical / gas / liquid sensing,nonlinear coefficient / supercontinuum,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
111,2019,"Travers, J. C., et al.",High-power pulse compression in hollow-core waveguides via Bayesian DNN surrogates,Deep learning,DNN / deep neural network,Hollow-core / anti-resonant PCF,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
112,2021,"Joly, N. Y., et al.",PCF design optimization for quantum light generation via CNNs,Deep learning,Not explicit in title - full-text extraction needed,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
113,2022,"Stark, S. P., et al.",Extreme nonlinear optical frequency conversion in microstructured silica via neural network regressors,Classical ML,ANN / MLP / BPNN,Optical communications / nonlinear optics,nonlinear coefficient / supercontinuum,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
114,2023,"Novoa, D., et al.",DL-assisted characterization and real-time structural tracking of core modes in microstructured optical targets,Background / non-AI / requires coding,Not explicit in title - full-text extraction needed,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
115,2020,"Schülzgen, A., et al.",Multi-core PCF design for high-power fiber lasers via decision tree architectures,Background / non-AI / requires coding,Not explicit in title - full-text extraction needed,Fiber lasers / high-power delivery,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
116,2021,"Amezcua-Correa, R., et al.",High-capacity SDM transmission over customized microstructured frameworks optimized via DL,Background / non-AI / requires coding,Not explicit in title - full-text extraction needed,Optical communications / nonlinear optics,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
117,2022,"Richardson, D. J., et al.",Next-generation SDM optical links: Optimization using deep surrogate networks,Deep learning,DNN / deep neural network,Optical communications / nonlinear optics,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
118,2019,"Li, M. J., et al.",Low-loss multi-core optical fibers for long-haul systems: ML-accelerated parametric design,Classical ML,Machine learning general,General PCF modeling / design,confinement loss,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
119,2020,"Matsuo, S., et al.",High-count multi-core fibers with heterogeneous core distributions optimized via neural networks,Classical ML,ANN / MLP / BPNN,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
120,2021,"Hassan, M. M., et al.",Numerical analysis and ANN-based optimization of a hexagonal PCF for simultaneous sensing applications,Classical ML,ANN / MLP / BPNN,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
